
TEST:
...
                                                               |     RMSE |    AUC |  F1@10 |    MAP |    MRR | NDCG@10 | NDCG@20 | NDCG@30 | Precision@10 | Recall@10 | Train (s) | Test (s)
-------------------------------------------------------------- + -------- + ------ + ------ + ------ + ------ + ------- + ------- + ------- + ------------ + --------- + --------- + --------
WMF(K=10, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.2623 | 0.4633 | 0.0039 | 0.0109 | 0.0157 |  0.0038 |  0.0132 |  0.0190 |       0.0027 |    0.0068 |    0.9102 |   0.0526
WMF(K=10, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.2623 | 0.4633 | 0.0039 | 0.0109 | 0.0155 |  0.0038 |  0.0132 |  0.0190 |       0.0027 |    0.0068 |    0.9369 |   0.0532
WMF(K=10, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.2623 | 0.4633 | 0.0039 | 0.0109 | 0.0156 |  0.0038 |  0.0132 |  0.0190 |       0.0027 |    0.0068 |    0.8655 |   0.0423
WMF(K=10, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.2623 | 0.4632 | 0.0039 | 0.0109 | 0.0160 |  0.0038 |  0.0132 |  0.0190 |       0.0027 |    0.0068 |    0.8033 |   0.0460
WMF(K=10, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 489.5276 | 0.5771 | 0.0034 | 0.0202 | 0.0315 |  0.0041 |  0.0293 |  0.0492 |       0.0027 |    0.0045 |    0.8396 |   0.0430
WMF(K=10, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 489.5262 | 0.5773 | 0.0034 | 0.0202 | 0.0310 |  0.0041 |  0.0293 |  0.0492 |       0.0027 |    0.0045 |    0.8433 |   0.0441
WMF(K=10, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 489.5281 | 0.5773 | 0.0034 | 0.0202 | 0.0313 |  0.0041 |  0.0293 |  0.0492 |       0.0027 |    0.0045 |    0.8336 |   0.0476
WMF(K=10, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 489.5261 | 0.5771 | 0.0034 | 0.0202 | 0.0317 |  0.0041 |  0.0293 |  0.0492 |       0.0027 |    0.0045 |    0.8274 |   0.0450
WMF(K=10, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 470.1366 | 0.6567 | 0.0426 | 0.0492 | 0.0924 |  0.0571 |  0.0905 |  0.0975 |       0.0297 |    0.0859 |    0.8500 |   0.0460
WMF(K=10, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 471.5490 | 0.6298 | 0.0470 | 0.0496 | 0.0922 |  0.0625 |  0.0849 |  0.0927 |       0.0324 |    0.0956 |    0.8505 |   0.0450
WMF(K=10, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 473.8083 | 0.6190 | 0.0423 | 0.0451 | 0.0775 |  0.0512 |  0.0862 |  0.0981 |       0.0297 |    0.0837 |    0.8372 |   0.0490
WMF(K=10, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 472.3308 | 0.6560 | 0.0436 | 0.0438 | 0.0758 |  0.0526 |  0.0807 |  0.0911 |       0.0297 |    0.0911 |    0.8067 |   0.0486
WMF(K=20, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.2336 | 0.5797 | 0.0230 | 0.0231 | 0.0665 |  0.0289 |  0.0490 |  0.0565 |       0.0162 |    0.0487 |    0.8217 |   0.0490
WMF(K=20, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.2337 | 0.5798 | 0.0230 | 0.0231 | 0.0676 |  0.0289 |  0.0490 |  0.0566 |       0.0162 |    0.0487 |    0.8219 |   0.0465
WMF(K=20, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.2337 | 0.5802 | 0.0230 | 0.0231 | 0.0672 |  0.0289 |  0.0490 |  0.0566 |       0.0162 |    0.0487 |    0.8350 |   0.0406
