
TEST:
...
                                                               |      MAE |     RMSE | Train (s) | Test (s)
-------------------------------------------------------------- + -------- + -------- + --------- + --------
WMF(K=10, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 479.4458 | 726.2988 |    5.4052 |   0.0010
WMF(K=10, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 479.4458 | 726.2988 |    0.9128 |   0.0010
WMF(K=10, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 479.4458 | 726.2988 |    1.0250 |   0.0070
WMF(K=10, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 479.4458 | 726.2988 |    1.0509 |   0.0000
WMF(K=10, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 469.7939 | 717.0199 |    1.0711 |   0.0097
WMF(K=10, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 469.7939 | 717.0197 |    0.8691 |   0.0130
WMF(K=10, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 469.8264 | 717.0520 |    1.0389 |   0.0010
WMF(K=10, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 469.8255 | 717.0511 |    0.9123 |   0.0092
WMF(K=10, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 435.5204 | 672.7734 |    0.9452 |   0.0113
WMF(K=10, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 438.0040 | 675.7007 |    0.8673 |   0.0010
WMF(K=10, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 445.4221 | 682.6277 |    0.9369 |   0.0099
WMF(K=10, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 444.6005 | 681.0954 |    0.9998 |   0.0010
WMF(K=20, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 479.4106 | 726.2703 |    0.9219 |   0.0116
WMF(K=20, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 479.4106 | 726.2703 |    0.9059 |   0.0124
WMF(K=20, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 479.4106 | 726.2704 |    0.8984 |   0.0000
WMF(K=20, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 479.4106 | 726.2704 |    0.9000 |   0.0010
WMF(K=20, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 468.6315 | 715.3939 |    0.9889 |   0.0109
WMF(K=20, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 468.6307 | 715.3940 |    1.0179 |   0.0010
WMF(K=20, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 468.6756 | 715.4587 |    1.5657 |   0.0333
WMF(K=20, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 468.6759 | 715.4584 |    1.8921 |   0.0054
WMF(K=20, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 456.0696 | 699.9759 |    1.6973 |   0.0178
